iter	Passed	Remaining
357	644	1155
358	645	1152
359	646	1149
360	647	1146
361	648	1143
362	649	1140
363	650	1137
364	652	1134
365	653	1131
366	654	1128
367	655	1125
368	656	1122
369	657	1119
370	658	1116
371	659	1113
372	660	1111
373	662	1108
374	663	1105
375	664	1102
376	665	1099
377	666	1097
378	668	1094
379	669	1091
380	670	1089
381	671	1086
382	672	1083
383	673	1080
384	674	1078
385	676	1075
386	677	1072
387	678	1069
388	679	1067
389	680	1065
390	682	1062
391	683	1060
392	685	1058
393	686	1056
394	687	1053
395	689	1051
396	690	1048
397	691	1046
398	693	1044
399	695	1043
400	696	1040
401	698	1038
402	699	1036
403	700	1033
404	702	1031
405	703	1029
406	705	1027
407	706	1024
408	707	1022
409	709	1020
410	710	1018
411	712	1016
412	713	1014
413	715	1012
414	716	1009
415	718	1007
416	719	1005
417	720	1003
418	722	1001
419	723	999
420	725	997
421	726	995
422	728	993
423	730	991
424	731	989
425	732	987
426	734	985
427	735	983
428	737	981
429	738	979
430	740	977
431	741	974
432	742	972
433	744	970
434	745	968
435	746	965
436	748	963
437	749	961
438	750	959
439	751	956
440	753	954
441	754	952
442	756	950
443	757	948
444	758	946
445	759	944
446	761	942
447	763	940
448	764	938
449	766	936
450	767	933
451	768	931
452	769	929
453	770	926
454	772	924
455	773	922
456	774	920
457	775	917
458	776	915
459	778	913
460	779	910
461	780	908
462	781	906
463	782	903
464	783	901
465	785	899
466	786	897
467	787	895
468	788	892
469	789	890
470	790	888
471	791	885
472	792	883
473	793	881
474	795	878
475	796	876
476	797	874
477	798	872
478	799	870
479	801	867
480	802	865
481	803	863
482	804	861
483	805	858
484	806	856
485	807	854
486	809	852
487	810	849
488	811	847
489	812	845
490	813	843
491	814	841
492	815	839
493	817	836
494	818	834
495	819	832
496	820	830
497	821	828
498	822	825
499	823	823
500	824	821
501	826	819
502	827	817
503	828	815
504	829	813
505	831	811
506	832	809
507	833	807
508	834	804
509	835	802
510	836	800
511	837	798
512	838	796
513	840	794
514	841	792
515	842	790
516	843	788
517	844	786
518	846	784
519	847	782
520	848	779
521	849	777
522	850	775
523	851	773
524	852	771
525	854	769
526	855	767
527	856	765
528	857	763
529	859	761
530	860	759
531	861	757
532	862	755
533	863	753
534	864	751
535	865	749
536	867	747
537	868	745
538	869	743
539	870	741
540	871	739
541	872	737
542	874	735
543	875	733
544	876	731
545	877	729
546	878	727
547	879	725
548	881	723
549	882	721
550	883	719
551	884	717
552	885	715
553	886	713
554	887	711
555	889	709
556	890	707
557	891	705
558	892	703
559	893	701
560	894	699
561	895	698
562	896	696
563	897	694
564	898	692
565	900	690
566	901	688
567	902	686
568	903	684
569	904	682
570	906	680
571	907	678
572	908	676
573	909	674
574	910	673
575	911	671
576	912	669
577	914	667
578	915	665
579	916	663
580	917	661
581	918	659
582	919	657
583	920	656
584	922	654
585	923	652
586	924	650
587	925	648
588	926	646
589	927	644
590	928	642
591	930	641
592	931	639
593	932	637
594	933	635
595	934	633
596	935	631
597	936	629
598	938	627
599	939	626
600	940	624
601	941	622
602	942	620
603	943	618
604	944	616
605	945	614
606	947	613
607	948	611
608	949	609
609	950	607
610	951	605
611	952	603
612	953	602
613	954	600
614	956	598
615	957	596
616	958	595
617	959	593
618	960	591
619	962	589
620	963	587
621	964	586
622	965	584
623	966	582
624	967	580
625	968	578
626	969	576
627	970	575
628	971	573
629	973	571
630	974	569
631	975	567
632	976	566
633	977	564
634	978	562
635	979	560
636	980	558
637	981	557
638	983	555
639	984	553
640	985	552
641	986	550
642	987	548
643	989	546
644	990	544
645	991	543
646	992	541
647	993	539
648	994	537
649	995	536
650	996	534
651	998	532
652	999	530
653	1000	529
654	1001	527
655	1002	525
656	1003	524
657	1004	522
658	1006	520
659	1007	518
660	1008	517
661	1009	515
662	1010	513
663	1012	512
664	1013	510
665	1014	508
666	1015	507
667	1016	505
668	1018	503
669	1019	501
670	1020	500
671	1021	498
672	1022	496
673	1023	495
674	1024	493
675	1026	491
676	1027	490
677	1028	488
678	1029	486
679	1030	484
680	1031	483
681	1032	481
682	1033	479
683	1034	478
684	1036	476
685	1037	474
686	1038	473
687	1039	471
688	1041	469
689	1042	468
690	1043	466
691	1044	464
692	1045	463
693	1046	461
694	1047	459
695	1049	458
696	1050	456
697	1051	454
698	1052	453
699	1053	451
700	1054	449
701	1055	448
702	1056	446
703	1058	444
704	1059	443
705	1059	441
706	1061	439
707	1062	438
708	1063	436
709	1064	434
710	1065	433
711	1067	431
712	1069	430
713	1070	428
714	1071	427
715	1072	425
716	1073	423
717	1075	422
718	1076	420
719	1077	418
720	1078	417
721	1079	415
722	1080	414
723	1081	412
724	1083	410
725	1084	409
726	1085	407
727	1086	405
728	1087	404
729	1088	402
730	1089	401
731	1091	399
732	1092	397
733	1093	396
734	1095	394
735	1096	393
736	1097	391
737	1098	389
738	1099	388
739	1100	386
740	1101	385
741	1103	383
742	1104	381
743	1105	380
744	1106	378
745	1107	377
746	1108	375
747	1109	373
748	1110	372
749	1112	370
750	1113	369
751	1114	367
752	1115	365
753	1116	364
754	1117	362
755	1118	361
756	1119	359
757	1121	357
758	1122	356
759	1123	354
760	1125	353
761	1126	351
762	1127	350
763	1128	348
764	1129	347
765	1130	345
766	1132	343
767	1133	342
768	1134	340
769	1135	339
770	1136	337
771	1137	336
772	1139	334
773	1140	332
774	1141	331
775	1142	329
776	1143	328
777	1144	326
778	1145	325
779	1146	323
780	1148	321
781	1149	320
782	1150	318
783	1151	317
784	1153	315
785	1154	314
786	1155	312
787	1156	311
788	1157	309
789	1158	308
790	1159	306
791	1160	304
792	1162	303
793	1163	301
794	1164	300
795	1165	298
796	1166	297
797	1168	295
798	1169	294
799	1170	292
800	1171	291
801	1172	289
802	1173	287
803	1174	286
804	1175	284
805	1177	283
806	1178	281
807	1179	280
808	1180	278
809	1181	277
810	1182	275
811	1184	274
812	1185	272
813	1186	271
814	1187	269
815	1188	268
816	1190	266
817	1191	265
818	1192	263
819	1193	261
820	1194	260
821	1195	258
822	1197	257
823	1198	255
824	1199	254
825	1200	252
826	1201	251
827	1202	249
828	1204	248
829	1205	246
830	1206	245
831	1207	243
832	1209	242
833	1210	240
834	1211	239
835	1212	237
836	1213	236
837	1214	234
838	1215	233
839	1217	231
840	1218	230
841	1219	228
842	1220	227
843	1221	225
844	1222	224
845	1223	222
846	1224	221
847	1225	219
848	1227	218
849	1228	216
850	1229	215
851	1231	213
852	1232	212
853	1233	210
854	1234	209
855	1236	207
856	1237	206
857	1238	204
858	1239	203
859	1240	201
860	1241	200
861	1242	198
862	1244	197
863	1245	195
864	1246	194
865	1247	193
866	1248	191
867	1249	190
868	1250	188
869	1251	187
870	1253	185
871	1254	184
872	1255	182
873	1257	181
874	1258	179
875	1259	178
876	1260	176
877	1261	175
878	1262	173
879	1264	172
880	1265	170
881	1266	169
882	1268	168
883	1269	166
884	1270	165
885	1271	163
886	1272	162
887	1274	160
888	1275	159
889	1276	157
890	1277	156
891	1278	154
892	1279	153
893	1281	151
894	1282	150
895	1284	149
896	1285	147
897	1286	146
898	1287	144
899	1288	143
900	1290	141
901	1291	140
902	1292	138
903	1293	137
904	1294	135
905	1295	134
906	1297	133
907	1298	131
908	1299	130
909	1300	128
910	1301	127
911	1302	125
912	1304	124
913	1305	122
914	1306	121
915	1307	119
916	1308	118
917	1310	117
918	1311	115
919	1313	114
920	1314	112
921	1315	111
922	1316	109
923	1317	108
924	1318	106
925	1320	105
926	1321	104
927	1322	102
928	1324	101
929	1325	99
930	1326	98
931	1328	96
932	1329	95
933	1331	94
934	1332	92
935	1333	91
936	1335	89
937	1337	88
938	1338	86
939	1339	85
940	1341	84
941	1396	85
942	1399	84
943	1404	83
944	1409	82
945	1411	80
946	1413	79
947	1414	77
948	1416	76
949	1417	74
950	1420	73
951	1432	72
952	1434	70
953	1436	69
954	1438	67
955	1440	66
956	1442	64
957	1444	63
958	1446	61
959	1447	60
960	1449	58
961	1450	57
962	1452	55
963	1454	54
964	1456	52
965	1458	51
966	1459	49
967	1461	48
968	1463	46
969	1464	45
970	1466	43
971	1468	42
972	1470	40
973	1471	39
974	1473	37
975	1474	36
976	1476	34
977	1477	33
978	1479	31
979	1480	30
980	1482	28
981	1484	27
982	1485	25
983	1487	24
984	1489	22
985	1490	21
986	1491	19
987	1493	18
988	1494	16
989	1497	15
990	1499	13
991	1500	12
992	1502	10
993	1503	9
994	1504	7
995	1506	6
996	1507	4
997	1508	3
998	1510	1
999	1512	0
